BroodID,Year,Box,Popn,Species,CltCd,CltSize,Hatch,Fledged,DAR,N1,DFE,DH,MinEggs,UnHatch,AverageMass,Outcome,MaleID,MaleDate,MaleRingDate,MaleStatus,MaleMinAge,FemaleID,FemaleDate,FemaleRingDate,FemaleStatus,FemaleMinAge,YoungDate,Young1,Young2,Young3,Young4,Young5,Young6,Young7,Young8,Young9,Young10,Young11,Weight.Y1,Tarsus.Y1,Weight.Y2,Tarsus.Y2,Weight.Y3,Tarsus.Y3,Weight.Y4,Tarsus.Y4,Weight.Y5,Tarsus.Y5,Weight.Y6,Tarsus.Y6,Weight.Y7,Tarsus.Y7,Weight.Y8,Tarsus.Y8,Weight.Y9,Tarsus.Y9,Weight.Y10,Tarsus.Y10,Weight.Y11,Tarsus.Y11
1,1955,2,YAR,BLUTI,1,,,,,,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1955,24,YAR,BLUTI,1,,,0,,,,,,,,XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1955,33,YAR,PIEFL,1,6,6,6,,,,,,,,NE,A51820,01/06/1955,01/06/1955,I,1,B80960,25/05/1955,25/05/1955,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1955,37,YAR,BLUTI,1,,,,,,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1956,1,YAR,BLUTI,1,8,6,6,,,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1956,11,YAR,BLUTI,1,12,10,8,,,33,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1956,12,YAR,PIEFL,1,7,7,7,,,45,,,,,NE,,,,,,A51799,28/05/1956,28/05/1956,I,1,11/06/1956,A51813,A51814,A51815,A51816,A51817,A51818,A51819,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1956,14,YAR,BLUTI,1,,0,0,,,,,,,,ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1956,17,YAR,BLUTI,1,11,11,11,,,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1956,20,YAR,BLUTI,1,11,10,10,,,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1956,23,YAR,PIEFL,1,7,6,6,,,49,,,,,NE,A51821,12/06/1956,12/06/1955,S,2,B80960,01/06/1956,25/05/1955,S,2,17/06/1956,C25401,C25402,C25403,C25404,C25405,C25406,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1956,25,YAR,BLUTI,1,14,14,14,,,,53,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1956,27,YAR,PIEFL,1,,0,0,,,,,1,,,ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1956,31,YAR,BLUTI,1,11,0,0,,,,,,,,ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1956,33,YAR,PIEFL,1,,0,0,,,,,,,,ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1956,36,YAR,BLUTI,1,13,13,13,,,32,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1956,37,YAR,PIEFL,2,7,7,7,,,,,,,,NE,A51820,12/06/1956,01/06/1955,S,2,A51798,28/05/1956,28/05/1956,I,1,20/06/1956,C25407,C25408,C25409,C25410,C25411,C25412,C25413,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1956,48,YAR,BLUTI,1,13,13,13,,,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1957,2,YAR,BLUTI,1,9,9,9,,,21,,,,,NE,,,,,,C37149,06/05/1957,06/05/1957,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1957,5,YAR,GRETI,1,10,10,,,,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1957,6,YAR,BLUTI,1,10,5,,,,21,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1957,10,YAR,BLUTI,1,11,,,,,19,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1957,16,YAR,BLUTI,1,10,,,,,22,,,,,NE,,,,,,C37148,06/05/1957,06/05/1957,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1957,18,YAR,BLUTI,1,8,8,8,,,29,,,,,NE,,,,,,C37147,06/05/1957,06/05/1957,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1957,20,YAR,REDST,1,6,,0,,,36,,,,,XU,,,,,,C56909,22/05/1957,22/05/1957,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1957,27,YAR,BLUTI,1,12,12,12,,,22,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
