BroodID,Year,Box,Popn,Species,CltCd,CltSize,Hatch,Fledged,DFE,DH,MinEggs,UnHatch,Outcome,MaleID,MaleDate,MaleStatus,MaleRingDate,MaleMinAge,FemaleID,FemaleDate,FemaleStatus,FemaleRingDate,FemaleMinAge,YoungDate,Young1,Young2,Young3,Young4,Young5,Young6,Young7,Young8,Young9,Young10,Young11,Young12,NOTES
1,2010,1,,GRETI,,8,,8,24,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
2,2010,3,,BLUTI,,13,13,13,22,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
3,2010,5,,GRETI,,8,,8,20,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
4,2010,7,,BLUTI,,11,,10,16,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
5,2010,9,,GRETI,,8,,8,12,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
6,2010,11,,BLUTI,,11,,9,8,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
7,2010,13,,GRETI,,8,,8,16,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
8,2010,15,,BLUTI,,14,,0,17,,,,XD,,,,,,,,,,,,,,,,,,,,,,,,
9,2010,17,,GRETI,,8,,8,25,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,19,,BLUTI,,10,,10,23,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
11,2010,21,,BLUTI,,11,,11,17,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
12,2010,22,,BLUTI,,12,12,12,19,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
13,2010,20,,GRETI,,9,,9,16,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
14,2010,18,,BLUTI,,10,,6,20,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
15,2010,16,,GRETI,,10,,7,14,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
16,2010,14,,BLUTI,,15,,15,14,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
17,2010,12,,GT/BT,,10,,0,16,,,,XD,,,,,,,,,,,,,,,,,,,,,,,,GT(5)/BT(8) - GT started first
18,2010,10,,BLUTI,,12,12,12,17,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
19,2010,8,,GRETI,,9,,9,16,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
20,2010,6,,BLUTI,,13,,11,18,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,
