BroodID,Year,Popn,Species,CltCd,CltSize,Hatch,Fledged,DFE,MinEggs,UnHatch,Outcome
1,2009,,PIEFL,1,7,,2,36,,,NE
2,2009,,PIEFL,1,8,,8,30,,,NE
3,2009,,PIEFL,1,7,,7,44,,,NE
4,2009,,PIEFL,1,7,,4,51,,,NE
5,2009,,PIEFL,1,,0,0,35,2,,ED
6,2009,,PIEFL,1,7,,7,38,,,NE
7,2009,,PIEFL,1,8,,7,37,,,NE
8,2009,,PIEFL,1,8,,8,35,,,NE
9,2009,,PIEFL,1,7,,7,38,,,NE
10,2009,,PIEFL,1,7,,7,36,,,NE
11,2009,,PIEFL,1,7,,7,35,,,NE
12,2009,,PIEFL,1,7,,0,46,,,XO
13,2009,,PIEFL,1,7,,6,47,,,NE
14,2009,,PIEFL,1,5,,4,54,,,NE
15,2009,,PIEFL,1,5,,4,49,,,NE
16,2009,,PIEFL,1,7,,7,35,,,NE
17,2009,,PIEFL,1,5,,5,54,,,NE
18,2009,,PIEFL,1,6,,5,63,,,NE
19,2010,,PIEFL,1,6,,6,38,,,NE
20,2010,,PIEFL,1,7,,6,41,,,NE
21,2010,,PIEFL,1,5,,5,52,,,NE
22,2010,,PIEFL,1,7,,0,34,,,XO
23,2010,,PIEFL,1,8,,8,30,,,NE
24,2010,,PIEFL,1,7,,7,51,,,NE
25,2010,,PIEFL,1,6,,6,31,,,NE
26,2010,,PIEFL,2,5,,4,67,,,NE
27,2010,,PIEFL,1,6,,6,39,,,NE
28,2010,,PIEFL,1,6,,6,40,,,NE
29,2010,,PIEFL,1,4,,4,41,,,NE
30,2010,,PIEFL,1,7,,7,39,,,NE
31,2010,,PIEFL,1,7,,7,38,,,NE
32,2010,,PIEFL,1,6,,6,40,,,NE
33,2010,,PIEFL,1,7,,7,40,,,NE
34,2010,,PIEFL,1,8,,8,40,,,NE
35,2010,,PIEFL,1,7,,6,43,,,NE
36,2010,,PIEFL,1,5,,3,51,,,NE
37,2010,,PIEFL,1,6,,6,53,,,NE
38,2011,,PIEFL,1,7,,0,28,,,XO
39,2011,,PIEFL,1,7,,6,31,,,NE
40,2011,,PIEFL,1,7,,7,31,,,NE
41,2011,,PIEFL,1,7,,7,24,,,NE
42,2011,,PIEFL,1,7,,6,31,,,NE
43,2011,,PIEFL,1,8,,0,30,,,XO
44,2011,,PIEFL,1,8,,8,26,,,NE
45,2011,,PIEFL,1,7,,0,34,,,XO
46,2011,,PIEFL,2,4,,2,59,,,NE
47,2011,,PIEFL,1,7,,5,27,,,NE
48,2011,,PIEFL,1,8,,5,34,,,NE
49,2011,,PIEFL,1,7,,5,38,,,NE
50,2011,,PIEFL,1,8,,0,34,,,XO
51,2011,,PIEFL,1,8,,8,49,,,NE
52,2011,,PIEFL,1,6,,5,47,,,NE
53,2011,,PIEFL,1,7,,6,46,,,NE
54,2011,,PIEFL,1,5,,4,30,,,NE
