BroodID,Year,Box,Popn,Species,CltCd,CltSize,Hatch,Fledged,DFE,DH,MinEggs,MinHatch,UnHatch,Outcome,MaleID,MaleStatus,MaleDate,MaleRingDate,MaleMinAge,FemaleID,FemaleStatus,FemaleRingDate,FemaleDate,FemaleMinAge,YoungDate,Young1,Young2,Young3,Young4,Young5,Young6,Young7,Young8,Young9,Young10,Weight.Y1,Weight.Y2,Weight.Y3,Weight.Y4,Weight.Y5,Weight.Y6,Weight.Y7,Weight.Y8,Weight.Y9,Weight.Y10,Comments 
1,1981,2,KEN,PIEFL,1,,,,,,,,1,,,,,,,,,,,,11/06/1981,B210544,B210545,B210546,B210547,B210548,,,,,,,,,,,,,,,,
2,1981,8,KEN,PIEFL,1,,,,,,,,1,,,,,,,,,,,,11/06/1981,B210538,B210539,B210540,B210541,B210542,B210543,,,,,,,,,,,,,,,
3,1981,11,KEN,PIEFL,1,,,,,,,,,,,,,,,,,,,,13/06/1981,B210588,B210589,B210590,B210591,B210592,B210593,,,,,,,,,,,,,,,
4,1981,15,KEN,PIEFL,1,,,,,,,,,,,,,,,B210663,I,16/06/1981,16/06/1981,1,15/06/1981,B210653,B210654,B210655,B210656,B210657,B210658,B210659,,,,,,,,,,,,,,
5,1981,23,KEN,PIEFL,1,,,,,,,,1,,,,,,,,,,,,11/06/1981,B210532,B210533,B210534,B210535,B210536,B210537,,,,,,,,,,,,,,,
6,1981,25,KEN,PIEFL,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1981,27,KEN,PIEFL,1,,,,,,,,,,,,,,,B210651,I,15/06/1981,15/06/1981,1,16/06/1981,B210664,B210665,B210666,,,,,,,,,,,,,,,,,,
8,1981,29,KEN,PIEFL,1,,,,,,,,,,,,,,,B210524,I,11/06/1981,11/06/1981,1,11/06/1981,B210525,B210526,B210527,B210528,B210529,B210530,B210531,,,,,,,,,,,,,,
9,1981,33,KEN,PIEFL,1,,,,,,,,,,B210667,I,16/06/1981,16/06/1981,1,,,,,,21/06/1981,B210693,B210694,B210695,B210696,B210697,B210698,,,,,,,,,,,,,,,
10,1981,35,KEN,PIEFL,1,,,,,,,,,,,,,,,,,,,,21/06/1981,B210688,B210689,B210690,B210691,B210692,,,,,,,,,,,,,,,,
