BroodID,Year,Box,Popn,Species,CltCd,CltSize,Hatch,Fledged,DFE,DH,UnHatch,Outcome,EggHatch,EggFailDate,ChickFailDate
1,2018,B25,SLINDON,BLUTI,1,7,0,0,25,,7,ED,no,,
2,2018,B25,SLINDON,BLUTI,1,8,4,4,38,,,NE,yes,,
3,2018,M2,SLINDON,BLUTI,1,10,8,7,21,,,NE,yes,,
4,2018,M5,SLINDON,BLUTI,1,12,2,2,19,,,NE,yes,,
5,2018,M6,SLINDON,BLUTI,1,11,11,11,24,46,,NE,yes,,
6,2018,M8,SLINDON,BLUTI,1,9,9,9,25,,,NE,yes,,
7,2018,M12,SLINDON,BLUTI,1,7,6,5,24,,,NE,yes,,
8,2018,M15,SLINDON,BLUTI,1,10,10,10,23,,,NE,yes,,
9,2018,M17,SLINDON,BLUTI,1,7,5,5,24,,,NE,yes,,
10,2018,M18,SLINDON,BLUTI,1,9,,4,30,,,NE,yes,,
11,2018,M19,SLINDON,BLUTI,1,11,4,3,23,,,NE,yes,,
12,2018,M24,SLINDON,BLUTI,1,4,4,4,37,,,NE,yes,,
13,2018,M7,SLINDON,MARTI,1,8,8,7,19,,,NE,yes,,
14,2018,M9,SLINDON,MARTI,1,7,7,7,18,,,NE,yes,,
15,2019,B1,SLINDON,BLUTI,1,9,7,4,23,44,,NE,yes,,
16,2019,B2,SLINDON,BLUTI,1,6,5,5,27,45,,NE,yes,,
17,2019,B8,SLINDON,BLUTI,1,12,10,0,22,45,,JD,yes,,
18,2019,B23,SLINDON,BLUTI,1,10,2,0,23,,,JD,yes,,57
19,2019,B24,SLINDON,BLUTI,1,9,9,4,20,,,NE,yes,,
20,2019,B25,SLINDON,BLUTI,1,8,7,3,23,,,NE,yes,,
21,2019,M2,SLINDON,BLUTI,1,6,6,6,22,,,NE,yes,,
22,2019,M5,SLINDON,BLUTI,1,12,2,2,11,,,NE,yes,,
23,2019,M7,SLINDON,BLUTI,1,9,8,7,9,,,NE,yes,,
24,2019,M8,SLINDON,BLUTI,1,9,,4,19,,,NE,yes,,
25,2019,M9,SLINDON,BLUTI,1,10,9,0,20,,,JD,yes,,57
26,2019,M10,SLINDON,BLUTI,1,8,8,7,30,,,NE,yes,,
27,2019,M12,SLINDON,BLUTI,1,8,8,0,22,,,JD,yes,,57
28,2019,M13,SLINDON,BLUTI,1,8,0,0,21,34,8,ED,no,,
29,2019,M14,SLINDON,BLUTI,1,11,10,9,9,,,NE,yes,,
30,2019,M15,SLINDON,BLUTI,1,8,7,5,19,,,NE,yes,,
31,2019,M17,SLINDON,BLUTI,1,9,8,8,27,46,,NE,yes,,
32,2019,M18,SLINDON,BLUTI,1,7,6,6,17,,,NE,yes,,
33,2019,M20,SLINDON,BLUTI,1,3,3,3,29,,,NE,yes,,
34,2019,M21,SLINDON,BLUTI,1,11,11,0,18,,,JD,yes,,
35,2019,M22,SLINDON,BLUTI,1,8,8,0,20,,,JD,yes,,
36,2019,M23,SLINDON,BLUTI,1,10,3,3,11,,,NE,yes,,
