BroodID,Year,Box,Popn,Species,CltCd,CltSize,Hatch,Fledged,JulianDFE,DFE,DH,MinEgg,Outcome,FemaleID,FemaleAge,MaleID,MaleAge,First ring,others,CWA,Nest set,Grid,Brood link,Comments
1409,2002,81,,COATI,1,8,8,8,88,-2,,,NE,,,,,R123508,-515,,M,L07,,
,2022,J02,,COATI,1,10,0,0,88,-2,,,ED,,,,,,,,,,,
1419,2002,C02,,COATI,1,12,12,12,92,2,,,NE,N459884,4,,,R123546,-557,,D,D04,,
1472,2003,81,,COATI,1,8,7,6,92,2,,,NE,N645232,6,,,R558011,-16,,M,L07,,
1486,2003,A04,,COATI,1,9,0,0,92,2,,9,ED,,,,,,,,D,R-1,,
1382,2002,9,,COATI,1,10,10,10,93,3,,,NE,N645301,6,,,R123516,-525,,M,Q01,,
1685,2005,94,,COATI,1,10,8,8,93,3,,,NE,R558185,6,,,R558501,-508,,d,I03,,
2419,2012,A68,,GRETI,1,8,7,6,93,2,,,NE,,,,,TR47845,-850,,M,N04,,
1007,1997,D09a,,COATI,1,10,9,9,94,4,,,NE,,,,,K720228,236,,D,E08,,
1209,1999,C10,,COATI,1,8,8,8,94,4,,,NE,,,,,N645349,357,,D,F07,,
1437,2002,D34B,,COATI,1,10,10,9,94,4,,,NE,,,,,R123537,-545,,D,F05,,
567,1990,49,,BLUTI,1,13,13,11,95,5,,,NE,E893064,6,,,F783046,3057,,M,M03,,
1392,2002,35,,GRETI,1,11,11,6,95,5,,,NE,,,,,VS50718,-723,2,M,O03,,very scrawny
1460,2003,49,,COATI,1,9,9,9,95,5,,,NE,P400519,6,,,R558002,-10,,M,L03,,
2184,2009,C35,,COATI,1,11,11,11,95,5,,,NE,,,,, V666821,-831,,D,D07,,
2387,2012,28,,BLUTI,1,12,0,0,95,4,,12,EP,X650000,6,,,,,,M,I03,,
413,1988,10,,COATI,1,8,0,0,96,5,,8,EP,,,,,,,,M,Q00,,
697,1993,59,,COATI,1,12,11,11,96,6,,,NE,H229135,6,,,J118001,8011,,M,N06,,
1185,1999,65,,BLUTI,1,11,7,7,96,6,,,NE,N305618,6,,,N645101,107,,M,O01,,
1251,2000,23,,COATI,1,10,10,10,96,5,,,NE,N645301,6,,,N459712,721,,M,Q00,,
1428,2002,C39,,BLUTI,1,11,0,0,96,6,,11,ED,P400368,6,,,,,,D,C04,,handling?
1679,2005,83,,BLUTI,1,5,0,0,96,6,,5,EP,,,,,,,,M,L05,,bumble bee
2035,2008,46,,COATI,1,11,7,7,96,5,,,NE,R558880,6,,,V666579,-585,,M,L-1,,
2120,2009,28,,BLUTI,1,9,8,8,96,6,,,NE, V475544,6,,, V666756,-763,,M,I03,,
2378,2012,6,,BLUTI,1,9,0,0,96,5,,9,ED,L327532,6,,,,,,M,J02,,
