site,year,peak_cater_fit,peak_cater_lwr,peak_cater_upr,height_cater_fit,height_cater_lwr,height_cater_upr,box,species,cltsize,fledged,dfe,outcome,avg_cltsize,cltsize_final,mismatch_cater,height_cater_log,mean_tasmin_April,mean_tasmin_May,mean_tasmin_June,mean_tasmax_April,mean_tasmax_May,mean_tasmax_June,tasmean_April,tasmean_May,tasmean_June,tasmean_AprMay,mean_tasmin_AprMay,mean_tasmax_AprMay
BRIDFORD,2012,54.50430787,52.33120356,56.74251627,429.7157413,250.1624844,770.2391024,22,PIEFL,7,7,39,NE,6.666666667,7,15.49569213,6.063123923,2.782524279,7.539458329,10.49568518,11.15053014,16.12133022,16.99002188,6.966527209,11.83039427,13.74285353,9.398460742,5.160991304,13.63593018
BRIDFORD,2012,54.50430787,52.33120356,56.74251627,429.7157413,250.1624844,770.2391024,30,PIEFL,7,4,41,NE,6.666666667,7,17.49569213,6.063123923,2.782524279,7.539458329,10.49568518,11.15053014,16.12133022,16.99002188,6.966527209,11.83039427,13.74285353,9.398460742,5.160991304,13.63593018
BRIDFORD,2012,54.50430787,52.33120356,56.74251627,429.7157413,250.1624844,770.2391024,15,PIEFL,7,7,42,NE,6.666666667,7,18.49569213,6.063123923,2.782524279,7.539458329,10.49568518,11.15053014,16.12133022,16.99002188,6.966527209,11.83039427,13.74285353,9.398460742,5.160991304,13.63593018
BRIDFORD,2012,54.50430787,52.33120356,56.74251627,429.7157413,250.1624844,770.2391024,54,PIEFL,6,6,43,NE,6.666666667,6,18.49569213,6.063123923,2.782524279,7.539458329,10.49568518,11.15053014,16.12133022,16.99002188,6.966527209,11.83039427,13.74285353,9.398460742,5.160991304,13.63593018
BRIDFORD,2012,54.50430787,52.33120356,56.74251627,429.7157413,250.1624844,770.2391024,12,GRETI,5,4,20,NE,5.666666667,5,-5.504307874,6.063123923,2.782524279,7.539458329,10.49568518,11.15053014,16.12133022,16.99002188,6.966527209,11.83039427,13.74285353,9.398460742,5.160991304,13.63593018
BRIDFORD,2012,54.50430787,52.33120356,56.74251627,429.7157413,250.1624844,770.2391024,17,BLUTI,11,8,27,NE,10.33333333,11,7.495692126,6.063123923,2.782524279,7.539458329,10.49568518,11.15053014,16.12133022,16.99002188,6.966527209,11.83039427,13.74285353,9.398460742,5.160991304,13.63593018
BRIDFORD,2012,54.50430787,52.33120356,56.74251627,429.7157413,250.1624844,770.2391024,23,BLUTI,NA,0,34,JD,10.33333333,10.33333333,13.82902546,6.063123923,2.782524279,7.539458329,10.49568518,11.15053014,16.12133022,16.99002188,6.966527209,11.83039427,13.74285353,9.398460742,5.160991304,13.63593018
BRIDFORD,2012,54.50430787,52.33120356,56.74251627,429.7157413,250.1624844,770.2391024,32,BLUTI,10,8,18,NE,10.33333333,10,-2.504307874,6.063123923,2.782524279,7.539458329,10.49568518,11.15053014,16.12133022,16.99002188,6.966527209,11.83039427,13.74285353,9.398460742,5.160991304,13.63593018
BRIDFORD,2012,54.50430787,52.33120356,56.74251627,429.7157413,250.1624844,770.2391024,36,BLUTI,NA,NA,14,OU,10.33333333,10.33333333,-6.170974541,6.063123923,2.782524279,7.539458329,10.49568518,11.15053014,16.12133022,16.99002188,6.966527209,11.83039427,13.74285353,9.398460742,5.160991304,13.63593018
BRIDFORD,2012,54.50430787,52.33120356,56.74251627,429.7157413,250.1624844,770.2391024,57,GRETI,7,2,19,NE,5.666666667,7,-4.504307874,6.063123923,2.782524279,7.539458329,10.49568518,11.15053014,16.12133022,16.99002188,6.966527209,11.83039427,13.74285353,9.398460742,5.160991304,13.63593018
