site,trap,year,hab,frass peak day,cater peak day,cater model max,cater actual max,,,,,
SPW,1,2010,OK/HO,49.9,47.45280579,13801.83295,16769,,,,,
SPW,2,2010,OK/HO,53.3,49.90269669,9617.39127,15950,,,,, 
SPW,3,2010,OK/HO,51.4,48.84321653,13655.56077,20262,,,,,
SPW,4,2010,OK/HO,51.3,50.26171159,19984.33256,15186,,,,,
YARNER,12,2010,,57,52.10526316,287.4087053,653,,,,,
YARNER,37,2010,,,52.16450216,865.8550644,1252,,,,,
YARNER,27,2010,,61.8,57.86290323,598.6999078,1252,,,,,
YARNER,30,2010,,60.7,,,,,,,,
FAITHWAITE,,2010,OK,63.9,55.6442577,595.1319367,1097,,,,,
FAITHWAITE,,2010,OK,64.9,58.5609119,720.9559286,1227,,,,,
FAITHWAITE,,2010,OK+,64.9,56.95071869,959.2466178,1627,,,,,
SPW,1,2008,OK/HO,40.5,44.44528991,18342.35072,24302,,,,,
SPW,2,2008,OK/HO,45.6,46.8774395,16603.06999,16734,,,,,
SPW,3,2008,OK/HO,42.7,45.0822647,38437.30156,55400,,,,,
SPW,4,2008,OK/HO,44.4,45.63066777,64739.16304,78157,,,,,
SPW,1,2009,OK/HO,40.7,39.5954488,27205.88933,36791,,,,,
SPW,2,2009,OK/HO,38.7,40.80391575,14090.14375,21645,,,,,
SPW,3,2009,OK/HO,37.2,38.35324232,16451.13699,33026,,,,,
SPW,4,2009,OK/HO,40.2,39.05644715,20939.242,27762,,,,,
FAITHWAITE,1,2011,OK,39.6,42.30926989,496.7876821,344,,,,,
FAITHWAITE,2,2011,OK,42.9,45.25495751,391.6314053,423,,,,,
FAITHWAITE,3,2011,OK,45.3,46.40264026,233.5842683,296,,,,,
FAITHWAITE,4,2011,OK,37.7,41.70905392,266.3277168,284,,,,,
BLACKWOOD,1,2011,OK,31.7,39.30371049,595.8531405,667,,,,,
BLACKWOOD,2,2011,OK,38,,,1040,,,,,
BELTWOOD,1,2011,OK,41.1,41.52066487,353.3709209,405,,,,,
BELTWOOD,2,2011,OK,,41.36535348,656.8823901,409,,,,,
TROUGHBARROW,1,2011,AH/OK/HZ,30.5,41.08867428,808.5034119,1867,,,,,
TROUGHBARROW,2,2011,AH/OK/HZ,34.6,47.33702599,1126.454368,1231,,,,,
